app_ref,council_id,lat,lng,applicant1,applicant2,applicant3,received_date,decision_date,address1,address2,address3,address4,decision,status,details,url,tweet_id
3883/10,3,,,,,,2010-11-02,2010-12-16,"Holy Faith Convent, Rear of Saint Mary's Road and Haddington Place (Major & Minor), Dublin 4",,,,C,9,Alterations to previously approved two and three storey convent development,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3883/10,1
3884/10,3,53.3338185,-6.2454733,,,,2010-11-03,2010-12-17,"77, Mespil Road, Dublin 4",,,,C,9,New/revised signage in shop windows and on fascia,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3884/10,1
3885/10,3,,,,,,2010-11-03,2010-12-17,"16, Brookvale Road, Donnybrook, Dublin 4",,,,C,9,Retention of single storey extension to side of house,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3885/10,1
3886/10,3,,,,,,2010-11-03,2010-11-08,"Lidl Licensed Discount Foodstore, Walkinstown Avenue, Walkinstown, Dublin 12",,,,N,0,Extension to existing Lidl store measuring 104sqm,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3886/10,1
3887/10,3,,,,,,2010-11-03,2011-01-06,"1, Mountpleasant Villas, Ranelagh, Dublin 6",,,,R,9,Extension & alterations to existing 2 storey dwelling,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3887/10,1
3888/10,3,,,,,,2010-11-03,2010-12-17,"Retail Unit 1, The Oval, 160, Shelbourne Road, Ballsbridge, Dublin 4",,,,C,9,Change of use from permitted showroom to restaurant,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3888/10,1
3889/10,3,53.3189182,-6.3268755,,,,2010-11-03,2010-11-08,"14, Wallace Road, Walkinstown, Dublin 12",,,,N,0,2 storey extension to side of detached garage,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3889/10,1
3890/10,3,53.3291577,-6.317199,,,,2010-11-03,2010-12-14,"64, Sperrin Road, Dublin 12",,,,C,9,Reconstruction of existing ground floor extension with 1st floor extension over,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3890/10,1
3891/10,3,53.3503202,-6.2601631,,,,2010-11-03,2010-12-17,"Spar Unit, 63-64, O'Connell Street Upper, Dublin 1",,,,C,9,PROTECTED STRUCTURE-Permission to place street furniture on public footpath,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3891/10,1
3893/10,3,,,,,,2010-11-04,2010-11-10,"Canavan Ford, East Wall Road, Dublin 3",,,,N,0,Install new underground fuel storage tanks and erect a new forecourt canopy,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3893/10,1
3894/10,3,53.3599976,-6.1959618,,,,2010-11-04,2010-11-11,"10, Vernon Avenue, Clontarf, Dublin 3",,,,N,0,Change of use to ground floor retail unit with ancillary office use on the first,http://www.dublincity.ie/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=3894/10,1
